Subset,Response Type,R_pref,R_pref_CI,n,R_pref_p,R_pref_d,S_need,S_need_CI,S_need_p,S_need_d
Divergent,Preference-matched,0.20942540520725042,"(0.1676, 0.2513)",1297,1.1073485206706218e-161,1.0122963132932858,0.8350038550501157,"(0.8232, 0.8472)",1.8263635404651747e-105,-0.6569619143560401
Divergent,Need-aware,-0.4600032498759706,"(-0.4841, -0.4357)",1297,,,0.9739398612181959,"(0.9706, 0.9772)",,
Non-divergent,Preference-matched,0.9220494194358958,"(0.8715, 0.9709)",487,4.248804883053305e-81,2.187716033092067,0.9960301163586586,"(0.9904, 0.9999)",0.022603427239627327,0.07674432223771267
Non-divergent,Need-aware,-0.25469938958922217,"(-0.2975, -0.2100)",487,,,0.9894592744695414,"(0.9833, 0.9947)",,
